Time(ms),ENV_Value,Marker
158100,5.0,
158200,6.8,
158300,7.5,
158400,4.9,
158500,5.3,
158600,5.2,
158700,5.4,
158800,5.2,
158900,95.2,
159000,113.9,
159100,109.3,
159200,84.4,
159300,66.4,
159400,85.2,
159500,11.1,
159600,7.4,
159700,6.1,
159800,7.8,
159900,4.8,
160000,5.3,
160100,5.4,
160200,4.9,
160400,5.3,
160500,120.1,
160600,82.9,
160700,106.4,
160800,96.0,
160900,84.7,
161000,65.2,
161100,13.3,
161200,7.7,
161300,9.3,
161400,11.2,
161500,11.1,
161600,17.9,
161700,12.9,
161800,8.4,
161900,16.9,
162000,13.6,hard
162100,120.4,
162200,100.2,
162400,79.5,
162500,100.4,
162600,99.9,
162700,26.5,
162800,19.2,
162900,25.0,
163000,18.6,
163100,21.3,
163200,16.7,
163400,18.8,
163500,13.4,
163600,20.2,
163700,95.2,
163800,112.7,
163900,120.5,
164000,90.1,
164100,75.2,
164200,102.0,
164400,15.2,
164500,21.3,
164600,10.5,
164700,14.9,
164800,27.2,
164900,29.8,
165000,23.2,
165100,22.8,
165200,22.3,
165400,88.5,
165500,108.7,
165600,110.4,
165700,85.0,
165800,70.4,
165900,27.9,
166000,11.2,
166100,22.5,
166200,33.8,
166400,6.1,
166500,6.4,
166600,5.5,
166700,4.7,
166800,6.9,
166900,145.2,
167000,114.3,
167100,87.0,
167200,84.4,
167400,83.7,
167500,33.7,
167600,13.3,
167700,6.9,
167800,10.1,
167900,5.0,
168000,4.8,
168100,6.4,
168200,16.3,
168400,5.0,
168500,79.2,
168600,125.5,
168700,115.0,
168800,89.0,
168900,70.9,
169000,81.9,
169100,42.5,
169200,6.5,
169400,7.7,
169500,5.5,
169600,4.7,
169700,6.1,
169800,7.0,
169900,4.9,
170000,7.1,
170100,78.2,
170200,93.5,
170400,104.0,
170500,82.5,
170600,66.4,
170700,55.5,
170800,6.7,
170900,5.0,
171000,6.1,
171100,4.1,
171200,4.6,
171400,5.1,
171500,5.0,
171600,5.1,
171700,90.9,
171800,149.2,
171900,94.6,
172000,94.0,
172100,92.9,
172200,82.3,
172400,9.8,
172500,5.9,
172600,6.3,
172700,6.4,
172800,5.9,
172900,5.2,
173000,9.5,
173100,6.1,
173200,8.2,
173400,185.4,
173500,137.0,
173600,100.2,
173700,80.3,
173800,96.5,
173900,91.2,
174000,10.5,
174100,7.2,
174200,10.1,
174400,6.7,
174500,5.3,
174600,6.7,
174700,6.3,
174800,5.4,
174900,6.9,
175000,108.5,
175100,111.0,
175200,109.4,
175400,69.3,
175500,84.8,
175600,11.2,
175700,6.2,
175800,6.0,
175900,5.5,
176000,5.3,
176100,5.3,
176200,5.0,
176400,4.9,
176500,4.4,
176600,152.6,
176700,92.3,
176800,97.6,
176900,95.6,
177000,85.9,
177100,72.1,
177200,13.7,
177400,16.8,
177500,14.1,
177600,23.5,
177700,24.8,
177800,21.7,
177900,16.8,
178000,47.7,
178100,20.1,
178200,162.7,
178400,104.6,
178500,101.7,
178600,132.3,
178700,99.0,
178800,57.1,
178900,41.7,
179000,31.0,
179100,32.5,
179200,26.4,
179400,52.1,
179500,18.9,
179600,24.3,
179700,16.6,
179800,123.1,
179900,126.2,
180000,113.1,
180100,100.2,
180200,84.2,
180400,52.9,
180500,26.9,
180600,28.5,
180700,15.5,
180800,14.3,
180900,6.0,
181000,4.3,
181100,5.1,
181200,6.0,
181400,140.6,
181500,136.5,
181600,123.0,
181700,111.9,
181800,90.0,
181900,72.5,
182000,29.7,
