Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
33801,1866.0,112.8,125.1,130.9,349.0,1817.0,14.0,
33901,1858.7,69.2,134.6,130.9,349.0,1817.0,14.0,
34001,1855.6,41.5,134.4,130.9,349.0,1817.0,14.0,
34101,1861.4,39.1,134.3,130.9,349.0,1817.0,14.0,
34201,1861.9,40.5,134.1,128.9,349.0,1817.0,14.0,
34301,1859.7,41.8,131.2,121.1,349.0,1817.0,14.0,
34401,1859.9,42.0,122.2,121.1,349.0,1817.0,14.0,
34501,1858.5,43.4,112.9,121.1,349.0,1817.0,14.0,
34601,1861.3,39.7,99.3,121.1,349.0,1817.0,14.0,
34801,1860.9,42.6,69.0,119.1,349.0,1817.0,14.0,
34901,1866.9,77.6,52.8,121.1,349.0,1817.0,14.0,
35001,1855.4,83.9,71.9,121.1,349.0,1817.0,14.0,
35101,1868.8,109.5,87.4,128.9,349.0,1817.0,14.0,
35201,1866.1,111.8,101.0,130.9,349.0,1817.0,14.0,
35301,1871.6,106.4,115.2,130.9,349.0,1817.0,14.0,
35401,1863.3,97.2,125.4,130.9,349.0,1817.0,14.0,
35501,1865.0,94.8,135.2,130.9,349.0,1817.0,14.0,
35601,1861.5,46.7,136.1,130.9,349.0,1817.0,14.0,
35801,1867.6,50.1,136.6,127.0,349.0,1817.0,14.0,
35901,1872.4,47.3,135.0,121.1,349.0,1817.0,14.0,
36001,1863.4,47.7,126.1,119.1,349.0,1817.0,14.0,
36101,1862.3,41.1,116.3,121.1,349.0,1817.0,14.0,
36201,1863.8,47.1,104.9,121.1,349.0,1817.0,14.0,
36301,1864.6,42.6,89.4,121.1,349.0,1817.0,14.0,
36401,1863.8,51.1,75.0,119.1,349.0,1817.0,14.0,
36501,1863.3,72.4,56.1,119.1,349.0,1817.0,14.0,
36601,1871.3,95.4,67.0,121.1,349.0,1817.0,14.0,
36801,1863.7,83.9,92.1,128.9,349.0,1817.0,14.0,
36901,1879.1,105.9,102.0,128.9,349.0,1817.0,14.0,
37001,1873.5,92.6,109.6,128.9,349.0,1817.0,14.0,
37101,1877.8,91.7,118.7,128.9,349.0,1817.0,14.0,
37201,1858.6,53.6,119.2,128.9,349.0,1817.0,14.0,
37301,1870.9,56.9,119.6,127.0,349.0,1817.0,14.0,
37401,1871.8,44.1,119.5,121.1,349.0,1817.0,14.0,
37501,1864.7,40.7,119.3,119.1,349.0,1817.0,14.0,
37601,1864.8,49.1,112.7,119.1,349.0,1817.0,14.0,
37801,1858.8,45.0,92.5,119.1,349.0,1817.0,14.0,
37901,1861.5,50.1,81.5,119.1,349.0,1817.0,14.0,
38001,1860.1,39.5,70.8,119.1,349.0,1817.0,14.0,
38101,1858.5,49.2,54.1,119.1,349.0,1817.0,14.0,
38201,1880.4,81.6,61.2,119.1,349.0,1817.0,14.0,
38301,1871.6,76.3,66.9,119.1,349.0,1817.0,14.0,
38401,1873.1,84.1,73.5,119.1,349.0,1817.0,14.0,
38501,1868.8,78.1,79.4,119.1,349.0,1817.0,14.0,
38601,1873.0,78.6,83.3,119.1,349.0,1817.0,14.0,
38801,1860.0,45.1,89.4,119.1,349.0,1817.0,14.0,
38901,1862.3,37.5,89.0,119.1,349.0,1817.0,14.0,
39001,1859.8,42.4,88.8,119.1,349.0,1817.0,14.0,
39101,1859.3,41.5,88.5,119.1,349.0,1817.0,14.0,
39201,1861.2,39.9,82.8,119.1,349.0,1817.0,14.0,
39301,1857.2,43.5,77.6,121.1,349.0,1817.0,14.0,
39401,1862.2,40.2,71.4,119.1,349.0,1817.0,14.0,
39501,1857.5,44.8,64.5,119.1,349.0,1817.0,14.0,
39601,1859.6,42.5,59.2,119.1,349.0,1817.0,14.0,
39801,1871.9,89.6,58.1,119.1,349.0,1817.0,14.0,
39901,1866.8,76.5,64.8,119.1,349.0,1817.0,14.0,
40001,1876.7,100.2,72.3,119.1,349.0,1817.0,14.0,
40101,1866.6,74.7,77.7,119.1,349.0,1817.0,14.0,
40201,1869.6,85.5,83.1,119.1,349.0,1817.0,14.0,
40301,1858.4,72.2,87.3,119.1,349.0,1817.0,14.0,
40401,1864.1,50.4,88.9,119.1,349.0,1817.0,14.0,
40501,1862.1,55.9,89.5,119.1,349.0,1817.0,14.0,
40601,1860.0,50.3,89.8,119.1,349.0,1817.0,14.0,
40801,1862.9,46.6,85.6,121.1,349.0,1817.0,14.0,
40901,1857.9,51.0,81.3,121.1,349.0,1817.0,14.0,
41001,1860.3,52.0,75.8,119.1,349.0,1817.0,14.0,
41101,1856.7,59.5,71.5,119.1,349.0,1817.0,14.0,
41201,1860.8,55.5,66.8,121.1,349.0,1817.0,14.0,
41301,1858.5,52.7,62.2,119.1,349.0,1817.0,14.0,
41401,1868.8,84.8,65.5,119.1,349.0,1817.0,14.0,
41501,1860.2,87.4,72.1,119.1,349.0,1817.0,14.0,
41601,1852.7,79.4,78.0,119.1,349.0,1817.0,14.0,
41801,1861.8,102.1,88.6,119.1,349.0,1817.0,14.0,
41901,1853.4,92.8,94.2,119.1,349.0,1817.0,14.0,
42001,1847.0,61.0,98.8,119.1,349.0,1817.0,14.0,
42101,1863.8,52.9,98.5,119.1,349.0,1817.0,14.0,
42201,1860.5,45.9,98.0,119.1,349.0,1817.0,14.0,
42301,1861.4,53.4,97.7,119.1,349.0,1817.0,14.0,
42401,1860.2,54.6,94.4,119.1,349.0,1817.0,14.0,
42501,1861.2,50.8,89.5,119.1,349.0,1817.0,14.0,
42601,1859.5,50.7,84.4,119.1,349.0,1817.0,14.0,
42801,1857.0,49.7,72.8,119.1,349.0,1817.0,14.0,
42901,1861.9,48.8,65.6,119.1,349.0,1817.0,14.0,
43001,1862.7,81.8,61.8,121.1,349.0,1817.0,14.0,
43101,1872.4,98.8,70.1,119.1,349.0,1817.0,14.0,
43201,1860.9,84.7,75.0,119.1,349.0,1817.0,14.0,
43301,1859.2,94.6,80.3,70.3,349.0,1817.0,14.0,
43401,1852.0,77.0,85.6,66.4,349.0,1817.0,14.0,
43501,1859.5,90.8,91.2,97.7,349.0,1817.0,14.0,
43601,1855.7,58.7,95.6,119.1,349.0,1817.0,14.0,
43801,1863.5,46.7,95.8,119.1,349.0,1817.0,14.0,
43901,1862.7,53.2,96.0,119.1,349.0,1817.0,14.0,
44001,1858.6,44.4,93.5,119.1,349.0,1817.0,14.0,
44101,1861.6,47.9,87.6,119.1,349.0,1817.0,14.0,
44201,1860.2,51.2,83.1,119.1,349.0,1817.0,14.0,
44301,1861.1,43.7,77.8,119.1,349.0,1817.0,14.0,
44401,1860.3,49.6,71.4,121.1,349.0,1817.0,14.0,
44501,1859.6,52.3,64.1,119.1,349.0,1817.0,14.0,
